;;meslek gruplar› ;ula_õm co_rafya kent;hukuk ;kŸrt;somut haklar - ;soyut haklar ;sosyal ;dõ__ politika - gŸvenlik ;ekonomi ;;;;;;;;
;;;;;;;;;;;a1;a2;c1;c2;m1;m2;h1;h2
kuzey_afrika;kuzey_afrika;;kuzey_afrika;;;;;;kuzey_afrika;;5;3;2;2;1;1;0;0
ab_standartlarÛ±;ab_standartlarÛ±;;;ab_standartlarÛ±;;;;ab_standartlar›;ab_standartlar›;;0;2;9;8;0;0;0;0
kÛ±rsal_kalkÛ±nma;kÛ±rsal_kalkÛ±nma;;kÛ±rsal_kalkÛ±nma;;;;;;;k›rsal_kalk›nma;13;16;1;2;1;5;0;0
doÛôal_gaz;doÛôal_gaz;;;;;;;;;do_al_gaz;21;19;7;7;2;7;0;0
saÛôlÛ±k_hizmetleri;saÛôlÛ±k_hizmetleri;;;;;;;sa_l›k_hizmetleri;;;19;18;19;18;3;12;6;6
yasal_dí_zenlemeler;yasal_dí_zenlemeler;;;yasal_dí_zenlemeler;yasal_dÙzenlemeler;;;yasal_dÙzenlemeler;yasal_dÙzenlemeler;;3;4;33;31;0;1;5;3
kentsel_dí_ní_ôí_m;kentsel_dí_ní_ôí_m;;kentsel_dí_ní_ôí_m;;;;;;;kentsel_d_nÙ_Ùm;21;24;17;16;0;4;3;2
organize_sanayi;organize_sanayi;;;;;;;;;organize_sanayi;1;2;2;2;0;2;0;0
toplumsal_cinsiyet_eôitliÛôi;toplumsal_cinsiyet_eôitliÛôi;;;toplumsal_cinsiyet_e_itli_i;;;;toplumsal_cinsiyet_e_itli_i;;;0;0;1;0;1;4;3;2
iôgí_cí__piyasasÛ±;iôgí_cí__piyasasÛ±;;;;;;;;;i_gÙcÙ_piyasas›;7;6;0;0;2;8;0;0
milli_devlet;milli_devlet;;milli_devlet;;milli_devlet;;;;milli_devlet;;0;0;0;0;2;6;0;0
uyuôturucu_madde;uyuôturucu_madde;;;;;;;uyu_turucu_madde;;;2;2;0;0;1;1;2;2
kÛ±dem_tazminatÛ±;kÛ±dem_tazminatÛ±;;;kÛ±dem_tazminatÛ±;;;;;;k›dem_tazminat›;3;3;2;2;1;2;4;5
ní_kleer_enerji;ní_kleer_enerji;;;;;;;;;nÙkleer_enerji;3;3;2;3;0;1;0;0
kuzey_marmara;kuzey_marmara;;kuzey_marmara;;;;;;;kuzey_marmara;3;6;1;1;0;0;0;0
yavuz_sultan_selim;yavuz_sultan_selim;;yavuz_sultan_selim;;;;;;;yavuz_sultan_selim;2;3;0;0;0;0;0;0
saÛôlÛ±k_hizmeti;saÛôlÛ±k_hizmeti;;;;;;;sa_l›k_hizmeti;;;5;5;3;3;0;3;2;3
tarÛ±m_sektí_rí_;tarÛ±m_sektí_rí_;;;;;;;;;tar›m_sekt_rÙ;4;4;3;3;1;7;0;0
yasal_gí_vence;yasal_gí_vence;;;yasal_gí_vence;yasal_gÙvence;;;yasal_gÙvence;;;0;0;9;10;0;0;1;1
batÛ±_dí_nyasÛ±;batÛ±_dí_nyasÛ±;;;;;;;;bat›_dÙnyas›;;0;0;3;3;0;1;0;0
oecd_í_lkeleri;oecd_í_lkeleri;;;;;;;;oecd_Ùlkeleri;oecd_Ùlkeleri;2;1;2;2;0;0;0;0
alternatif_turizm;alternatif_turizm;;;;;;;;;alternatif_turizm;1;1;1;1;0;2;0;0
yerli_marka_otomobil;yerli_marka_otomobil;;;;;;;;;yerli_marka_otomobil;3;2;0;0;0;0;0;0
hak_ve_hí_rriyetler;hak_ve_hí_rriyetler;;;hak_ve_hí_rriyetler;hak_ve_hÙrriyetler;;;hak_ve_hÙrriyetler;;;6;9;1;1;1;4;0;0
sosyal_yardÛ±m;sosyal_yardÛ±m;;;;;;;;;sosyal_yard›m;25;27;11;11;0;9;5;5
dí_nya_bankasÛ±;dí_nya_bankasÛ±;;;;;;;;;dÙnya_bankas›;7;7;0;0;0;0;0;0
orta_doÛôu;orta_doÛôu;;orta_doÛôu;;orta_do_u;;;;orta_do_u;;7;7;15;22;0;1;0;0
gí_neô_enerjisi;gí_neô_enerjisi;;;;;;;;;gÙne__enerjisi;1;1;3;4;0;2;0;0
bí_lgesel_kalkÛ±nma;bí_lgesel_kalkÛ±nma;;bí_lgesel_kalkÛ±nma;;b_lgesel_kalk›nma;;;;b_lgesel_kalk›nma;b_lgesel_kalk›nma;2;2;6;5;2;4;0;0
avrupa_yerel_yí_netimler;avrupa_yerel_yí_netimler;;;;avrupa_yerel_y_netimler;;;avrupa_yerel_y_netimler;avrupa_yerel_y_netimler;;2;1;0;1;0;0;1;1
doÛôu_anadolu;doÛôu_anadolu;;doÛôu_anadolu;;do_u_anadolu;;;;do_u_anadolu;;6;5;1;2;0;0;0;0
yabancÛ±_í_Ûôrenci;yabancÛ±_í_Ûôrenci;;;;;;;;yabanc›___renci;;5;5;0;0;0;0;0;0
kÛ±ô_turizmi;kÛ±ô_turizmi;;;;;;;;;k›__turizmi;5;5;1;1;1;1;0;0
terí_rle_mí_cadele;terí_rle_mí_cadele;;;;ter_rle_mÙcadele;;;;ter_rle_mÙcadele;;3;5;6;6;3;21;1;1
sosyal_konut;sosyal_konut;;;;;;;sosyal_konut;;;0;0;1;1;2;3;1;1
lgbti’ˆ;lgbti’ˆ;;;;;;;lgbti;;;0;0;0;0;0;0;5;9
borsa_i’ˆstanbul;borsa_i’ˆstanbul;;;;;;;;;borsa_istanbul;2;3;0;0;1;1;0;0
kí_resel_rekabet;kí_resel_rekabet;;;;;;;;;kÙresel_rekabet;2;2;4;2;0;1;0;0
vicdan_í_zgí_rlí_Ûôí_;vicdan_í_zgí_rlí_Ûôí_;;;vicdan_í_zgí_rlí_Ûôí_;;;;vicdan__zgÙrlÙ_Ù;;;0;0;0;0;0;7;5;5
yeni_anayasa;yeni_anayasa;;;yeni_anayasa;yeni_anayasa;;;yeni_anayasa;yeni_anayasa;;32;29;1;1;0;0;2;2
uluslararasÛ±_rekabet;uluslararasÛ±_rekabet;;;;;;;;uluslararas›_rekabet;uluslararas›_rekabet;3;3;2;3;1;10;0;0
yí_ksek_hÛ±zlÛ±_tren;yí_ksek_hÛ±zlÛ±_tren;;yí_ksek_hÛ±zlÛ±_tren;;;;;;;yÙksek_h›zl›_tren;8;10;1;1;0;0;0;0
í_zel_sektí_r;í_zel_sektí_r;;;;;;;;;_zel_sekt_r;57;61;14;14;4;35;1;1
gí_neydoÛôu_anadolu;gí_neydoÛôu_anadolu;;gí_neydoÛôu_anadolu;;gÙneydo_u_anadolu;;;;gÙneydo_u_anadolu;;2;2;3;3;0;1;0;0
savunma_sanayii;savunma_sanayii;;;;savunma_sanayii;;;;savunma_sanayii;;10;13;0;0;1;1;0;0
sosyal_gí_venlik_sistemi;sosyal_gí_venlik_sistemi;;;;;;;sosyal_gÙvenlik_sistemi;;sosyal_gÙvenlik_sistemi;5;4;1;1;0;4;1;1
rayl›_sistem;rayl›_sistem;;rayl›_sistem;;;;;;;rayl›_sistem;11;13;3;3;0;0;0;0
sosyal_diyalog;sosyal_diyalog;;;;sosyal_diyalog;;;sosyal_diyalog;sosyal_diyalog;;2;3;2;2;0;0;0;0
demokratik_ilkeler;demokratik_ilkeler;;;demokratik_ilkeler;demokratik_ilkeler;;;demokratik_ilkeler;demokratik_ilkeler;;0;0;3;4;0;1;1;1
bireysel_emeklilik;bireysel_emeklilik;;;;;;;;;bireysel_emeklilik;6;5;1;1;0;1;0;0
sosyal_devlet;sosyal_devlet;;;;;;;sosyal_devlet;;sosyal_devlet;4;4;19;15;0;0;1;1
bilgi_sistemleri;bilgi_sistemleri;;;;;;;;;;2;4;1;2;0;1;0;0
